date,interest rate
2015-05-03,16
2015-05-10,16
2015-05-17,14
2015-05-24,14
2015-05-31,15
2015-06-07,15
2015-06-14,16
2015-06-21,15
2015-06-28,14
2015-07-05,15
2015-07-12,15
2015-07-19,16
2015-07-26,15
2015-08-02,15
2015-08-09,14
2015-08-16,15
2015-08-23,16
2015-08-30,16
2015-09-06,15
2015-09-13,27
2015-09-20,16
2015-09-27,15
2015-10-04,14
2015-10-11,15
2015-10-18,14
2015-10-25,15
2015-11-01,16
2015-11-08,17
2015-11-15,15
2015-11-22,12
2015-11-29,17
2015-12-06,17
2015-12-13,34
2015-12-20,11
2015-12-27,11
2016-01-03,14
2016-01-10,15
2016-01-17,14
2016-01-24,18
2016-01-31,23
2016-02-07,21
2016-02-14,17
2016-02-21,17
2016-02-28,16
2016-03-06,16
2016-03-13,17
2016-03-20,16
2016-03-27,16
2016-04-03,17
2016-04-10,19
2016-04-17,16
2016-04-24,17
2016-05-01,17
2016-05-08,16
2016-05-15,16
2016-05-22,14
2016-05-29,14
2016-06-05,14
2016-06-12,15
2016-06-19,15
2016-06-26,15
2016-07-03,14
2016-07-10,16
2016-07-17,14
2016-07-24,14
2016-07-31,14
2016-08-07,13
2016-08-14,12
2016-08-21,14
2016-08-28,14
2016-09-04,15
2016-09-11,15
2016-09-18,16
2016-09-25,15
2016-10-02,15
2016-10-09,15
2016-10-16,15
2016-10-23,14
2016-10-30,15
2016-11-06,16
2016-11-13,21
2016-11-20,15
2016-11-27,18
2016-12-04,18
2016-12-11,27
2016-12-18,15
2016-12-25,12
2017-01-01,15
2017-01-08,15
2017-01-15,15
2017-01-22,17
2017-01-29,18
2017-02-05,16
2017-02-12,16
2017-02-19,17
2017-02-26,19
2017-03-05,20
2017-03-12,25
2017-03-19,18
2017-03-26,18
2017-04-02,19
2017-04-09,18
2017-04-16,17
2017-04-23,18
2017-04-30,18
2017-05-07,16
2017-05-14,15
2017-05-21,14
2017-05-28,13
2017-06-04,15
2017-06-11,18
2017-06-18,14
2017-06-25,15
2017-07-02,14
2017-07-09,16
2017-07-16,14
2017-07-23,15
2017-07-30,15
2017-08-06,13
2017-08-13,13
2017-08-20,12
2017-08-27,13
2017-09-03,13
2017-09-10,15
2017-09-17,15
2017-09-24,15
2017-10-01,14
2017-10-08,15
2017-10-15,15
2017-10-22,17
2017-10-29,16
2017-11-05,15
2017-11-12,15
2017-11-19,11
2017-11-26,14
2017-12-03,17
2017-12-10,19
2017-12-17,13
2017-12-24,11
2017-12-31,13
2018-01-07,15
2018-01-14,14
2018-01-21,16
2018-01-28,19
2018-02-04,23
2018-02-11,19
2018-02-18,19
2018-02-25,20
2018-03-04,19
2018-03-11,17
2018-03-18,22
2018-03-25,18
2018-04-01,19
2018-04-08,19
2018-04-15,19
2018-04-22,19
2018-04-29,19
2018-05-06,18
2018-05-13,18
2018-05-20,16
2018-05-27,16
2018-06-03,16
2018-06-10,22
2018-06-17,16
2018-06-24,16
2018-07-01,15
2018-07-08,16
2018-07-15,16
2018-07-22,16
2018-07-29,17
2018-08-05,16
2018-08-12,16
2018-08-19,16
2018-08-26,15
2018-09-02,15
2018-09-09,16
2018-09-16,17
2018-09-23,21
2018-09-30,18
2018-10-07,22
2018-10-14,19
2018-10-21,19
2018-10-28,18
2018-11-04,18
2018-11-11,17
2018-11-18,13
2018-11-25,18
2018-12-02,19
2018-12-09,18
2018-12-16,25
2018-12-23,16
2018-12-30,17
2019-01-06,18
2019-01-13,18
2019-01-20,17
2019-01-27,18
2019-02-03,18
2019-02-10,18
2019-02-17,19
2019-02-24,19
2019-03-03,18
2019-03-10,17
2019-03-17,19
2019-03-24,22
2019-03-31,21
2019-04-07,20
2019-04-14,18
2019-04-21,19
2019-04-28,20
2019-05-05,17
2019-05-12,17
2019-05-19,16
2019-05-26,16
2019-06-02,19
2019-06-09,18
2019-06-16,22
2019-06-23,19
2019-06-30,17
2019-07-07,21
2019-07-14,20
2019-07-21,19
2019-07-28,36
2019-08-04,22
2019-08-11,23
2019-08-18,23
2019-08-25,20
2019-09-01,18
2019-09-08,22
2019-09-15,30
2019-09-22,20
2019-09-29,20
2019-10-06,19
2019-10-13,19
2019-10-20,17
2019-10-27,24
2019-11-03,20
2019-11-10,17
2019-11-17,18
2019-11-24,13
2019-12-01,16
2019-12-08,17
2019-12-15,15
2019-12-22,12
2019-12-29,16
2020-01-05,18
2020-01-12,17
2020-01-19,18
2020-01-26,18
2020-02-02,19
2020-02-09,19
2020-02-16,20
2020-02-23,24
2020-03-01,47
2020-03-08,43
2020-03-15,100
2020-03-22,32
2020-03-29,27
2020-04-05,26
2020-04-12,25
2020-04-19,24
